osm_id,osm_type,nombre,direccion,ciudad,telefono,whatsapp,website,horario,marca,latitud,longitud
node/6008398602,node,RAN,,,,,,,,18.4547274,-70.6450264
node/6008398603,node,NAYARIT,,,,,,,,18.4496047,-70.6192105
node/6008398604,node,LAS 5 ESQUINAS,,,,,,,,18.455684,-70.7448574
node/6008398606,node,MENDEZ C POR A,,,,,,,,18.2053009,-71.0962669
node/6008398607,node,LEMBERT,,,,,,,,18.2073751,-71.094871
node/6008398608,node,MI BOTICA POPULAR,,,,,,,,18.20376,-71.0950244
node/6008398609,node,VILLA ESTELA,,,,,,,,18.2048999,-71.0973012
node/6008398610,node,FELLITO,,,,,,,,18.207496,-71.0974114
node/6008398611,node,ercilia,,,,,,,,18.5026714,-69.8705917
node/6008398613,node,OBED,,,,,,,,18.5717909,-69.9152542
node/6008398614,node,NIQUIN,,,,,,,,18.5796597,-69.9196659
node/6008428885,node,JUANER,,,,,,,,18.8170624,-71.226917
node/6008428886,node,BRENDA,,,,,,,,18.2038066,-71.0934
node/6008428887,node,HILDA,,,,,,,,18.4523682,-69.9892844
node/6008434585,node,lizmary,,,,,,,,18.5283884,-69.8123228
node/6008436385,node,DANIA,,,,,,,,18.4554304,-69.9777653
node/6008436386,node,SHARLYN,,,,,,,,18.4708719,-69.9854594
node/6008436387,node,YAROMIK,,,,,,,,18.4798255,-69.9749099
node/6008436388,node,LAS PALMAS,,,,,,,,18.4769477,-69.9815944
node/6008436389,node,Nemesis,"Prolong Avenida 27 De Febrero, Santo Domingo Oeste",Santo Domingo Oeste,,,,,,18.4932415,-69.9996467
node/6008436390,node,CAMINO DIVINO,,,,,,,,18.4545965,-69.9826146
node/6008436391,node,CHARO,,,,,,,,18.4812695,-69.9772286
node/6008436393,node,Yudelka,,,+18095942424+18095931620,,,,,18.5120577,-69.8613948
node/6008436394,node,luis miguel,,,,,,,,18.4874455,-69.8055552
node/6008436395,node,Luisa,,,,,,,,18.4978345,-69.9057804
node/6008437685,node,Collado,,,,,,,,18.4904984,-69.9109871
node/6008437686,node,mazara,,,,,,,,18.6116956,-68.7105378
node/6008437687,node,michell,,,,,,,,18.6078562,-68.7115008
node/6008437688,node,dimar,,,,,,,,18.7380283,-70.0006357
node/6008437689,node,RAUDYS,,,,,,,,18.7664029,-70.0226633
node/6008437690,node,miguelina,,,,,,,,18.4964928,-69.9070844
node/6008437691,node,Evelyn ll,,,,,,,,18.4769028,-69.8763686
node/6008437693,node,Bartolina,,,,,,,,18.5412518,-69.9382935
node/6008437694,node,Rubi,,,,,,,,18.5344563,-69.9402796
node/6008437695,node,Kirsys,,,,,,,,18.5406351,-69.9314542
node/6008437696,node,Deiny 2,,,,,,,,18.5427931,-69.9394907
node/6008437697,node,JOVANNY,,,,,,,,18.5003579,-69.8633852
node/6008437698,node,elida,,,,,,,,18.5275775,-69.8755863
node/6008437699,node,vinyvic,,,,,,,,18.5288171,-69.8700354
node/6008437701,node,santa monica,,,,,,,,18.4884158,-69.8314286
node/6008437705,node,MARIA LUISA,,,,,,,,18.5227406,-69.8418791
node/6008437706,node,mendoza,,,,,,,,18.4988076,-69.83256
node/6008437707,node,Luz Bethania,"Jose Francisco Peña Gome, Santo Domingo Este",Santo Domingo Este,+8095478397,,,,,18.5045602,-69.8220562
node/6008437708,node,NUEVA ERA,,,,,,,,18.5038037,-69.8256806
node/6008437710,node,divina misericordia,,,,,,,,18.5225703,-69.799118
node/6008437711,node,jehova,,,,,,,,18.5426606,-69.8023004
node/6008437712,node,ISHTAR,,,,,,,,18.5396894,-69.8128517
node/6008437785,node,Gilda,,,,,,,,18.4873664,-69.9099231
node/6008437786,node,Guarocuya,,,,,,,,18.4886762,-69.9067305
node/6008437787,node,YANILSY,,,,,,,,18.4714456,-69.7345507
node/6008437788,node,Alejandrina,,,,,,,,18.5425959,-69.9280533
node/6008437789,node,Lhumy pharma,,,,,,,,18.5113345,-69.8599468
node/6008437790,node,TRINY,,,,,,,,18.5091186,-69.8631104
node/6008437791,node,los mellos,,,,,,,,18.5374625,-69.8694784
node/6008437792,node,susan y geraldine,,,,,,,,18.5210692,-69.8515413
node/6008437886,node,FARMACIA JASPE,,,,,,,,18.4541618,-69.0130758
node/6008437887,node,Vademecum,,,+18095954747,,,,,18.5107952,-69.8337642
